Table,Column
classroom_reports,created_by_user_id
classroom_reports,created_by_name
classroom_reports,created_at
classroom_reports,updated_at
classroom_report_comments,id
classroom_report_comments,report_id
classroom_report_comments,parent_id
classroom_report_comments,commenter_name
classroom_report_comments,comment_text
classroom_report_comments,created_at
classroom_report_comments,read_by_teacher_at
classroom_report_comments,read_by_admin_at
app_notifications,id
app_notifications,target_username
app_notifications,target_role
app_notifications,title
app_notifications,body
app_notifications,level
app_notifications,link_url
app_notifications,is_read
app_notifications,created_at
app_notifications,read_at
admin_profiles,user_id
admin_profiles,full_name
admin_profiles,title
admin_profiles,phone
admin_profiles,address
admin_profiles,created_at
admin_profiles,updated_at
pcm_enrolment_audit,id
pcm_enrolment_audit,enrolment_id
pcm_enrolment_audit,student_id
pcm_enrolment_audit,event_type
pcm_enrolment_audit,actor
pcm_enrolment_audit,details
pcm_enrolment_audit,created_at
mail_queue,id
mail_queue,to_email
mail_queue,to_name
mail_queue,subject
mail_queue,html_body
mail_queue,attempts
mail_queue,max_attempts
mail_queue,status
mail_queue,last_error
mail_queue,created_at
mail_queue,available_at
mail_queue,sent_at
audit_logs,id
audit_logs,occurred_at
audit_logs,user_id
audit_logs,username
audit_logs,role
audit_logs,ip_address
audit_logs,route
audit_logs,method
audit_logs,action_name
audit_logs,entity
audit_logs,status
audit_logs,details_json
user_module_access_overrides,id
user_module_access_overrides,user_id
user_module_access_overrides,username
user_module_access_overrides,module_key
user_module_access_overrides,action_key
user_module_access_overrides,effect
user_module_access_overrides,is_active
user_module_access_overrides,created_by
user_module_access_overrides,created_at
user_module_access_overrides,updated_at
email_verification_codes,id
email_verification_codes,email
email_verification_codes,code_hash
email_verification_codes,purpose
email_verification_codes,attempts
email_verification_codes,verified_at
email_verification_codes,expires_at
email_verification_codes,created_at
pcm_class_fee_charges,id
pcm_class_fee_charges,class_id
pcm_class_fee_charges,charge_title
pcm_class_fee_charges,amount
pcm_class_fee_charges,description
pcm_class_fee_charges,due_date
pcm_class_fee_charges,is_active
pcm_class_fee_charges,created_by
pcm_class_fee_charges,created_at
pcm_class_fee_charges,updated_at
kiosk_pin_resets,
db_migrations,id
db_migrations,migration
db_migrations,applied_at
